query_id,patient_id,query,expected_intent,parsed,answer,parse_latency_seconds,answer_latency_seconds,total_latency_seconds,error
1,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is my latest BASO# result?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BASO#""}]}",,2.2169877870001073,0.00283092900099291,2.2198187160011003,
2,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you tell me the most recent BASO% value?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BASO%""}]}",,0.8420160519999627,0.0012408640013745753,0.8432569160013372,
3,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What was my EO# on the latest report?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""EO#""}]}",,0.814547775000392,0.0012418249989423202,0.8157895999993343,
4,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Show my current EO% result.,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""EO%""}]}",,0.8171584760002588,0.0011383719993318664,0.8182968479995907,
5,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the newest result recorded for HCT?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""HCT""}]}",,0.8189845090000745,0.0011837120000564028,0.8201682210001309,
6,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Give me my most recent HGB reading.,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""HGB""}]}",,0.812579874000221,0.0013553579992731102,0.8139352319994941,
7,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What does my latest report show for IG#?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""IG""}]}",,0.8036663410002802,1.4390903109997453,2.2427566520000255,
8,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,I want to know my latest IG% value.,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""IG%""}]}",,0.9431463180007995,0.0018839589993149275,0.9450302770001144,
9,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the latest recorded LYMPH#?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""LYMPH""}]}",,0.840686227000333,1.5056345390003116,2.3463207660006447,
10,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,How much was my LYMPH% in the most recent test?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""LYMPH%""}]}",,0.9572080299985828,0.00205991599978006,0.9592679459983628,
11,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you find the latest MCH result in my records?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MCH""}]}",,0.834636531999422,0.0015886929995758692,0.8362252249989979,
12,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What did my latest test report for MCHC?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MCHC""}]}",,0.8459722900006454,0.0017640459991525859,0.847736335999798,
13,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is my latest MCV result?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MCV""}]}",,0.8326718249991245,0.0020471560001169564,0.8347189809992415,
14,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you tell me the most recent MONO# value?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MONO#""}]}",,0.8478877920006198,0.001589363000675803,0.8494771550012956,
15,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What was my MONO% on the latest report?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MONO""}]}",,0.8315381240008719,0.8232211600006849,1.6547592840015568,
16,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Show my current MPV result.,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MPV""}]}",,0.9123229700016964,0.0015853749991947552,0.9139083450008911,
17,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the newest result recorded for MacroR?,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MacroR""}]}",,0.8430023729997629,0.0015672469999117311,0.8445696199996746,
18,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Give me my most recent MicroR reading.,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MicroR""}]}",,0.8462892719999218,0.0015374049999081763,0.8478266769998299,
