configuration,query_id,patient_id,query,intent,latency_seconds,retrieved_count,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,hit@1,hit@3,hit@5,MRR
DENSE_ONLY,RET001,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is my latest BASO# result?,LATEST_VALUE,0.036899245000313385,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET002,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you tell me the most recent BASO% value?,LATEST_VALUE,0.01656187800108455,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET003,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What was my EO# on the latest report?,LATEST_VALUE,0.01585287300076743,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET004,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Show my current EO% result.,LATEST_VALUE,0.014972195000154898,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET005,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the newest result recorded for HCT?,LATEST_VALUE,0.01490379499955452,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET006,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Give me my most recent HGB reading.,LATEST_VALUE,0.014608845000111614,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET007,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What does my latest report show for IG#?,LATEST_VALUE,0.015201304999209242,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET008,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,I want to know my latest IG% value.,LATEST_VALUE,0.015954805001456407,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET009,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the latest recorded LYMPH#?,LATEST_VALUE,0.01588837999952375,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET010,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,How much was my LYMPH% in the most recent test?,LATEST_VALUE,0.019985193999673356,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET011,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you find the latest MCH result in my records?,LATEST_VALUE,0.01637830099934945,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET012,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What did my latest test report for MCHC?,LATEST_VALUE,0.01582286600023508,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET013,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is my latest MCV result?,LATEST_VALUE,0.01561253699946974,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET014,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you tell me the most recent MONO# value?,LATEST_VALUE,0.015912913000647677,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET015,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What was my MONO% on the latest report?,LATEST_VALUE,0.015915470001345966,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET016,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Show my current MPV result.,LATEST_VALUE,0.01804481100043631,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET017,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the newest result recorded for MacroR?,LATEST_VALUE,0.018444471999828238,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET018,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Give me my most recent MicroR reading.,LATEST_VALUE,0.018810821000442957,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET019,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What does my latest report show for NEUT#?,LATEST_VALUE,0.016234196000368684,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET020,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,I want to know my latest NEUT% value.,LATEST_VALUE,0.015602990999468602,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET021,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is the latest recorded P-LCR?,LATEST_VALUE,0.014672393999717315,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET022,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,How much was my PCT in the most recent test?,LATEST_VALUE,0.014937067000573734,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET023,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you find the latest PDW result in my records?,LATEST_VALUE,0.014897073999236454,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET024,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What did my latest test report for PLT?,LATEST_VALUE,0.014732381001522299,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET025,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What is my latest RBC result?,LATEST_VALUE,0.014362656000230345,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET026,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Can you tell me the most recent RDW-CV value?,LATEST_VALUE,0.01501157399980002,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET027,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,What was my RDW-SD on the latest report?,LATEST_VALUE,0.01598926399856282,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET028,10043ad4-aa9f-46ef-aaf7-574f9d25d2a5,Show my current WBC result.,LATEST_VALUE,0.015502636999372044,20,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENSE_ONLY,RET029,2a02f095-d81d-4534-933d-92603970be06,What is the newest result recorded for ALBUMIN/GLOBULIN RATIO?,LATEST_VALUE,0.01686146700012614,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENSE_ONLY,RET030,2a02f095-d81d-4534-933d-92603970be06,Give me my most recent AVERAGE BLOOD GLUCOSE (CALCULATED) reading.,LATEST_VALUE,0.01614921699911065,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENSE_ONLY,RET031,2a02f095-d81d-4534-933d-92603970be06,What does my latest report show for BASOPHILS?,LATEST_VALUE,0.015807357000085176,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
